Variavel,Importancia
"TX_RESP_Q12_Wi-Fi, Quarto, Garagem",0.0011809625
"TX_RESP_Q12_Microondas, Lavadora, Garagem",0.0011797118
"TX_RESP_Q12_Quarto, Lavadora, Garagem",0.0011791864
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Freezer, Garagem",0.001172074
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Garagem",0.0011671578
"TX_RESP_Q12_Freezer, Garagem",0.0011661282
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Freezer",0.0011560549
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Garagem",0.0011555292
"TX_RESP_Q12_Quarto, Lavadora",0.001150966
"TX_RESP_Q12_Wi-Fi, Mesa, Freezer",0.0011489429
"TX_RESP_Q12_Wi-Fi, Aspirador, Lavadora",0.0011448577
"TX_RESP_Q12_Wi-Fi, Mesa, Garagem",0.0011445208
"TX_RESP_Q12_Mesa, Microondas, Lavadora, Freezer",0.0011402834
"TX_RESP_Q12_Microondas, Lavadora, Freezer, Garagem",0.0011384243
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Lavadora, Freezer",0.0011112859
TX_RESP_Q04_Pardo,0.0011040686
"TX_RESP_Q12_Wi-Fi, Microondas",0.0010979181
"TX_RESP_Q12_Microondas, Lavadora",0.001093596
"TX_RESP_Q12_Wi-Fi, Aspirador, Garagem",0.0010908303
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas",0.0010835102
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Lavadora, Freezer",0.0010777831
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Freezer, Garagem",0.0010633199
"TX_RESP_Q12_Mesa, Lavadora, Freezer",0.0010616785
"TX_RESP_Q12_Wi-Fi, Aspirador",0.0010590064
TX_RESP_Q11d_2,0.0010456105
"TX_RESP_Q12_Mesa, Microondas",0.0010430589
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Freezer, Garagem",0.0010416448
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Lavadora",0.0010378185
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Freezer",0.0010329883
"TX_RESP_Q12_Microondas, Freezer",0.0010308971
"TX_RESP_Q12_Quarto, Mesa, Freezer, Garagem",0.0010284453
"TX_RESP_Q12_Microondas, Garagem",0.001020648
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Freezer, Garagem",0.00101296
"TX_RESP_Q12_Quarto, Mesa",0.0010055148
TX_RESP_Q12_Microondas,0.0010003316
"TX_RESP_Q12_Microondas, Aspirador, Lavadora",0.0009992726
"TX_RESP_Q12_Quarto, Microondas, Lavadora, Freezer",0.0009919801
"TX_RESP_Q12_Wi-Fi, Mesa, Aspirador, Freezer, Garagem",0.000988064
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Garagem",0.0009874884
"TX_RESP_Q12_Wi-Fi, Freezer, Garagem",0.0009851732
"TX_RESP_Q12_Quarto, Mesa, Microondas, Freezer",0.0009830992
TX_RESP_Q12_Mesa,0.0009677646
"TX_RESP_Q12_Quarto, Mesa, Lavadora",0.00095947215
"TX_RESP_Q12_Wi-Fi, Freezer",0.0009507177
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador",0.0009487446
"TX_RESP_Q12_Wi-Fi, Aspirador, Freezer, Garagem",0.00094475836
"TX_RESP_Q12_Mesa, Aspirador, Lavadora, Freezer",0.0009408065
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador, Garagem",0.000939559
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador, Lavadora",0.00092555175
"TX_RESP_Q12_Quarto, Mesa, Lavadora, Freezer",0.00091035455
"TX_RESP_Q12_Mesa, Aspirador, Lavadora, Freezer, Garagem",0.00087576546
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Freezer",0.00087098754
"TX_RESP_Q12_Mesa, Freezer, Garagem",0.00083071156
"TX_RESP_Q12_Quarto, Microondas, Lavadora",0.0008280635
"TX_RESP_Q12_Mesa, Lavadora, Garagem",0.0008262519
"TX_RESP_Q12_Quarto, Mesa, Aspirador, Lavadora, Freezer, Garagem",0.000806901
"TX_RESP_Q12_Quarto, Mesa, Microondas, Freezer, Garagem",0.0007995775
"TX_RESP_Q12_Quarto, Microondas, Aspirador, Lavadora, Freezer",0.0007933572
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Aspirador, Freezer",0.0007633572
"TX_RESP_Q12_Quarto, Microondas, Freezer",0.0007512551
"TX_RESP_Q12_Quarto, Microondas, Lavadora, Garagem",0.0007401154
"TX_RESP_Q12_Aspirador, Lavadora",0.00073100836
"TX_RESP_Q12_Quarto, Mesa, Microondas",0.0007110745
"TX_RESP_Q12_Quarto, Microondas, Freezer, Garagem",0.0007064578
"TX_RESP_Q12_Microondas, Freezer, Garagem",0.000705372
"TX_RESP_Q12_Quarto, Mesa, Aspirador, Lavadora",0.00067341013
"TX_RESP_Q12_Aspirador, Lavadora, Garagem",0.0006537188
TX_RESP_Q12_Quarto,0.00063939864
"TX_RESP_Q12_Mesa, Microondas, Freezer, Garagem",0.0006347145
"TX_RESP_Q12_Wi-Fi, Quarto, Aspirador, Freezer",0.0006029113
"TX_RESP_Q12_Microondas, Aspirador, Lavadora, Garagem",0.0005536265
"TX_RESP_Q12_Quarto, Microondas, Aspirador, Garagem",0.0
"TX_RESP_Q12_Quarto, Microondas, Aspirador, Lavadora",0.0
"TX_RESP_Q12_Quarto, Microondas, Aspirador, Freezer",0.0
"TX_RESP_Q12_Mesa, Aspirador, Lavadora, Garagem",0.0
"TX_RESP_Q12_Mesa, Garagem",0.0
"TX_RESP_Q12_Quarto, Microondas, Aspirador, Freezer, Garagem",0.0
"TX_RESP_Q12_Quarto, Microondas, Aspirador, Lavadora, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Aspirador",0.0
"TX_RESP_Q12_Quarto, Microondas, Aspirador",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Lavadora, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Freezer, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Lavadora",0.0
"TX_RESP_Q12_Aspirador, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador, Freezer",0.0
"TX_RESP_Q12_Quarto, Mesa, Microondas, Aspirador",0.0
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador, Freezer, Garagem",0.0
"TX_RESP_Q12_Mesa, Aspirador, Lavadora",0.0
"TX_RESP_Q12_Wi-Fi, Quarto, Microondas, Aspirador",0.0
TX_RESP_Q12_Garagem,0.0
"TX_RESP_Q12_Lavadora, Garagem",0.0
"TX_RESP_Q12_Mesa, Aspirador, Freezer",0.0
"TX_RESP_Q12_Mesa, Aspirador, Freezer, Garagem",0.0
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Microondas, Freezer",0.0
"TX_RESP_Q12_Mesa, Aspirador",0.0
"TX_RESP_Q12_Mesa, Microondas, Aspirador, Garagem",0.0
"TX_RESP_Q12_Mesa, Microondas, Aspirador",0.0
"TX_RESP_Q12_Wi-Fi, Quarto, Mesa, Aspirador, Garagem",0.0
"TX_RESP_Q12_Microondas, Aspirador, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Freezer",0.0
"TX_RESP_Q12_Wi-Fi, Microondas, Aspirador",0.0
"TX_RESP_Q12_Quarto, Mesa, Aspirador, Lavadora, Garagem",0.0
"TX_RESP_Q12_Quarto, Mesa, Aspirador, Lavadora, Freezer",0.0
"TX_RESP_Q12_Quarto, Aspirador",0.0
"TX_RESP_Q12_Quarto, Aspirador, Freezer",0.0
"TX_RESP_Q12_Quarto, Aspirador, Freezer, Garagem",0.0
"TX_RESP_Q12_Quarto, Aspirador, Garagem",0.0
"TX_RESP_Q12_Quarto, Aspirador, Lavadora",0.0
"TX_RESP_Q12_Quarto, Aspirador, Lavadora, Freezer",0.0
"TX_RESP_Q12_Quarto, Aspirador, Lavadora, Garagem",0.0
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador, Freezer",0.0
"TX_RESP_Q12_Wi-Fi, Mesa, Microondas, Aspirador",0.0
"TX_RESP_Q12_Quarto, Mesa, Aspirador, Garagem",0.0
"TX_RESP_Q12_Quarto, Garagem",0.0
